hour,Wind_Speed,Wind_Direction,U,V
0,5.008555630797226,154.22044210818308,-2.0934516139258057,4.127470200272668
1,4.922778407833564,157.90030593619971,-1.8540247876257865,4.182288209416208
2,4.746195791152289,160.39792144244106,-1.5950031326297656,4.092995576446225
3,4.496324805768889,161.36213358333333,-1.406668285738399,3.863720182500059
4,4.235935473586666,164.15180669444445,-1.2923834092026973,3.6065543616188696
5,3.9441729696089016,164.68583870653686,-1.215986107902466,3.2680689449113127
6,3.813319535031111,162.3986226111111,-1.2508301029643862,3.0245232830029294
7,3.919149096182222,158.57266109722224,-1.4117099426119173,2.992766640037192
8,3.9621927026977777,155.1180138611111,-1.5468693408424912,2.988530601676948
9,4.066262740543375,149.97521139470012,-1.7929665897812819,2.970887743547888
10,4.289449130781538,145.02502194405594,-2.1037981197163114,3.0409934774872722
11,4.482305880210056,142.84266048882682,-2.352597279318843,3.1672924157683497
12,4.630304407422222,143.9041730972222,-2.456326840004155,3.2598351997650186
13,4.757440580730822,143.47835966527197,-2.6299957960496263,3.398455766118126
14,4.821661549250139,143.5666961420613,-2.7081213191579256,3.5017926108978075
15,4.8102661957777775,142.53209083333334,-2.7243008292331625,3.5541473471350753
16,4.764218190242003,142.77417795549374,-2.6745640032263647,3.5800679506069186
17,4.710428151753676,143.5547659916782,-2.607798856155273,3.5383414208729267
18,4.625118346053333,142.99201831944444,-2.533715828890969,3.4759088102510236
19,4.635392933355555,143.38982097222222,-2.565643392483025,3.4817268797983383
20,4.75949949340751,144.60354389429762,-2.575382317944199,3.622564703951213
21,4.871882805533334,146.641783625,-2.505384304878856,3.7736000571926955
22,4.981655967297778,149.58300452777777,-2.385078630754675,4.006810180770819
23,5.011662738768889,154.1379360138889,-2.1229048512570334,4.1573112212724
